Country,Market Size,Staffing Market Growth 2021,Long Term Growth Potential,Market Competition,Economy (GDP 2021 - 2022),COVID Resilience,Protection Permanent Employees,Regulations on TAW,Ease of Doing Business,Political Stability,Human Capital
Malaysia,3,9,10,8,7,10,4,10,9,5,8
India,8,9,10,10,10,8,7,7,6,2,3
Ireland,6,7,5,7,4,6,4,10,9,8,9
Canada,8,7,8,3,3,5,2,10,9,9,9
Finland,6,7,6,2,2,8,5,7,9,10,10
Germany,9,6,4,1,3,5,8,8,9,9,10
Norway,6,6,8,1,3,8,6,4,10,10,10
Israel,5,5,9,4,5,6,6,9,8,5,9
Sweden,6,4,7,2,2,4,7,9,10,10,10
China,9,6,8,3,7,5,9,7,8,2,6
Denmark,5,6,8,1,2,7,4,7,10,10,10
New Zealand,5,5,7,3,3,8,1,9,10,10,9
Singapore,6,6,8,2,3,9,4,4,10,9,9
Spain,8,5,8,7,5,3,6,5,8,6,8
Taiwan,6,2,8,8,2,9,4,5,9,7,9
United Kingdom,10,8,2,1,5,3,3,10,10,8,9
Latvia,1,3,10,1,5,6,9,9,9,6,9
United States,10,5,5,3,3,3,1,10,10,8,10
Austria,6,5,5,3,3,5,6,8,8,9,9
Philippines,3,10,10,9,7,7,5,6,4,1,5
Australia,9,6,3,1,2,5,4,9,9,9,9
Chile,4,9,9,10,3,3,4,4,6,7,7
Estonia,3,4,9,4,4,7,5,4,9,8,9
Japan,10,1,5,2,2,8,5,9,8,8,8
Argentina,4,9,10,10,3,4,7,5,2,3,8
Czechia,5,6,9,1,4,3,8,7,7,7,8
Portugal,5,5,5,5,6,4,7,6,8,7,7
South Korea,6,1,10,4,2,7,5,6,10,6,8
France,9,8,2,2,5,3,8,4,8,7,8
Lithuania,3,4,10,3,3,4,6,8,9,6,8
Netherlands,9,1,1,1,2,5,10,8,7,10,10
Thailand,3,4,10,9,4,9,5,4,9,2,5
Colombia,3,10,9,10,3,4,6,6,6,2,4
Greece,3,2,10,10,5,5,7,5,5,4,7
Peru,3,10,9,10,6,4,5,5,5,2,4
Slovakia,3,6,9,1,6,6,7,5,7,6,7
United Arab Emirates,5,2,10,8,1,8,5,3,9,5,7
Mexico,5,10,8,7,3,5,7,6,6,1,4
Russia,3,4,10,7,3,6,6,8,8,1,6
Serbia,2,4,10,7,6,6,5,6,7,3,6
"Hong Kong, China",4,1,8,1,3,7,4,5,10,9,9
Hungary,5,7,8,3,3,3,5,8,7,5,7
Indonesia,4,3,10,8,6,5,8,4,5,2,6
Switzerland,8,1,4,1,2,4,5,8,8,10,10
Vietnam,3,3,10,9,8,6,5,6,6,1,4
Belgium,8,2,3,1,4,2,9,6,7,8,9
Croatia,2,4,9,6,5,4,6,6,7,5,5
Italy,9,1,5,10,3,3,7,3,6,5,7
Slovenia,3,5,7,2,4,2,6,7,8,7,8
Turkey,2,4,10,9,4,7,7,1,8,1,5
Qatar,4,2,10,8,2,7,5,3,5,4,7
Poland,5,2,7,1,3,4,6,7,8,5,8
Romania,4,7,9,2,4,4,6,5,7,3,5
Bulgaria,1,4,10,6,3,4,6,5,6,4,6
Morocco,3,1,10,8,4,7,6,5,7,2,2
South Africa,7,5,7,3,1,4,5,10,5,3,4
Saudi Arabia,2,3,10,8,3,7,1,3,6,2,8
Egypt,3,2,10,8,4,5,6,5,3,1,3
Brazil,6,7,9,8,2,4,4,1,2,2,3
Kuwait,1,1,10,8,1,7,5,3,5,2,5
Nigeria,1,4,10,9,1,8,5,6,1,1,1
Algeria,1,1,10,8,2,5,6,5,1,1,4
